Crash ID,Road User,Gender,Age,Age Group
20205068,Driver,Male,20,17_to_25
20205105,Passenger,Male,53,40_to_64
20205075,Driver,Female,18,17_to_25
20203053,Motorcycle rider,Male,20,17_to_25
20201096,Driver,Male,34,26_to_39
20205056,Motorcycle rider,Male,25,17_to_25
20201134,Driver,Male,19,17_to_25
20201237,Motorcycle rider,Male,36,26_to_39
20201235,Passenger,Female,20,17_to_25
20201198,Driver,Male,18,17_to_25
20201186,Driver,Male,17,17_to_25
20204038,Driver,Male,92,75_or_older
20204018,Passenger,Male,1,0_to_16
20204035,Driver,Male,20,17_to_25
20202066,Driver,Male,79,75_or_older
20202130,Driver,Male,77,75_or_older
20205061,Driver,Female,32,26_to_39
20203149,Passenger,Female,76,75_or_older
20203149,Driver,Male,81,75_or_older
20201220,Motorcycle rider,Male,75,75_or_older
20204054,Passenger,Female,24,17_to_25
20201171,Driver,Female,20,17_to_25
20205094,Driver,Male,26,26_to_39
